Connected with result code 0 at Fri May 17 08:43:07 2024
Message, latency, average, std-dev
133, 856.2211990356445, 1001.2992611505035, 89.00265101436197
134, 854.0596961975098, 1000.2004584269737, 89.57084510761926
135, 852.1642684936523, 999.1038940570972, 90.13676216439598
136, 850.224494934082, 998.0091925929574, 90.70102562033414
137, 848.1032848358154, 996.9149888867009, 91.26586238241397
138, 845.5429077148438, 995.8180897477745, 91.83646315875882
139, 843.1766033172607, 994.7199495576268, 92.41036741758491
140, 842.1247005462646, 993.6299834932599, 92.97211376256115
141, 840.040922164917, 992.5406993703639, 93.53408939304981
142, 837.2623920440674, 991.4471901638407, 94.10429497870132
143, 834.3067169189453, 990.3483057355547, 94.6845425854763
144, 831.8212032318115, 989.2474230792787, 95.26915726535445
145, 827.0683288574219, 988.1289465674039, 95.88409814031544
146, 822.5164413452148, 986.9946143398546, 96.52648448867346
147, 819.3676471710205, 985.8542948353047, 97.17935358367862
148, 816.9505596160889, 984.7130533811209, 97.8339135218121
149, 814.1100406646729, 983.5680667185943, 98.4949934254762
150, 811.8581771850586, 982.4233341217041, 99.15563591340188
151, 811.0487461090088, 981.2884030752624, 99.79949339227883
152, 807.5580596923828, 980.1454402898487, 100.45732387893531
153, 804.0969371795654, 978.9947964786704, 101.12843520607974
154, 800.6801605224609, 977.8369092322015, 101.81197922334084
155, 798.0477809906006, 976.6769793725783, 102.49878587212272
156, 795.9158420562744, 975.5182541333712, 103.1831613792886
157, 793.7233448028564, 974.3603247745781, 103.8658551504381
158, 789.2496585845947, 973.1887382797048, 104.5721626124247
159, 779.9544334411621, 971.9734281863806, 105.35617737106878
160, 785.8448028564453, 970.8101242780685, 106.0458413416908
161, 783.0586433410645, 969.6439660113791, 106.74014843020315
162, 780.0333499908447, 968.4735301100178, 107.44154896209433
163, 768.3045864105225, 967.245499780573, 108.2458856332687
164, 777.3823738098145, 966.0877977929464, 108.92286367748848
165, 771.479606628418, 964.908354210131, 109.63769581466742
166, 771.8093395233154, 963.7451071337046, 110.3235281761935
167, 766.1161422729492, 962.5617001584903, 111.04446853095486
168, 763.8516426086426, 961.3789021968842, 111.76363796804712
169, 761.2109184265137, 960.1944762574145, 112.48502194166689
170, 767.0490741729736, 959.0583268333884, 113.12206971322797
171, 750.314474105835, 957.837602548432, 113.9082843568562
172, 739.2218112945557, 956.5665805062582, 114.7863695115905
173, 739.4881248474121, 955.3117917452245, 115.63114807068041
174, 733.1333160400391, 954.0349039538153, 116.51517769023106
175, 749.7079372406006, 952.8673212868827, 117.19819147073378
176, 747.1113204956055, 951.6982531005686, 117.88362914931764
177, 744.2944049835205, 950.5264799473649, 118.57358748112533
178, 722.9814529418945, 949.2481370990196, 119.45691688408878
179, 725.9078025817871, 948.0004257330015, 120.28026464353982
180, 725.9349822998047, 946.7667288250393, 121.07603967349354
181, 732.6240539550781, 945.5836201241003, 121.78000861261671
182, 731.2476634979248, 944.4059500327477, 122.47414047169278
183, 728.309154510498, 943.2250932266152, 123.17359004334001
184, 726.954460144043, 942.0497093511665, 123.86322173902926
185, 723.2086658477783, 940.8667847916887, 124.5658082147942
186, 721.052885055542, 939.684989631817, 125.26610132190156
187, 719.491720199585, 938.5074855172061, 125.95862743928836
188, 716.9249057769775, 937.328854773907, 126.65290891188833
189, 713.6976718902588, 936.1456210020358, 127.35499385967111
190, 710.5295658111572, 934.9581680799786, 128.06415639383545
191, 707.1201801300049, 933.7652990331201, 128.78245215805703
192, 705.2168846130371, 932.5749427080154, 129.49585821475756
193, 708.895206451416, 931.4159803439916, 130.15446042277256
194, 697.4637508392334, 930.2100410166476, 130.8951524645053
195, 696.7477798461914, 929.0127986516708, 131.61973312013637
